t,x,xdot
54,-1.95692,0.558968
54.1,-1.90623,0.652928
54.2,-1.84808,0.735768
54.3,-1.78329,0.811162
54.4,-1.71235,0.882098
54.5,-1.63554,0.951031
54.6,-1.55291,1.02003
54.7,-1.46438,1.09088
54.8,-1.36969,1.1652
54.9,-1.26847,1.24449
55,-1.1602,1.33013
55.1,-1.04426,1.42344
55.2,-0.919905,1.52555
55.3,-0.786303,1.63731
55.4,-0.64257,1.75904
55.5,-0.487844,1.89014
55.6,-0.321399,2.02854
55.7,-0.142844,2.1699
55.8,0.0476045,2.30677
55.9,0.248769,2.42786
56,0.458141,2.51789
56.1,0.671641,2.55892
56.2,0.883697,2.53347
56.3,1.08779,2.42934
56.4,1.27741,2.24443
56.5,1.44706,1.98889
56.6,1.59296,1.68323
56.7,1.71318,1.35301
56.8,1.80747,1.02273
56.9,1.87685,0.711435
57,1.9232,0.430939
57.1,1.94891,0.186309
57.2,1.95655,-0.0224932
57.3,1.94862,-0.19868
57.4,1.9274,-0.347021
57.5,1.89486,-0.472713
57.6,1.85259,-0.580724
57.7,1.80187,-0.675476
57.8,1.74364,-0.760765
57.9,1.67858,-0.839788
58,1.60712,-0.915232
58.1,1.52952,-0.989382
58.2,1.44584,-1.06422
58.3,1.35599,-1.1415
58.4,1.25976,-1.22283
58.5,1.1568,-1.30968
58.6,1.04666,-1.4034
58.7,0.928784,-1.50521
58.8,0.802533,-1.61604
58.9,0.667191,-1.73637
59,0.522014,-1.86594
59.1,0.366279,-2.00327
59.2,0.199371,-2.14507
59.3,0.0209033,-2.28541
59.4,-0.169093,-2.415
59.5,-0.369922,-2.52065
59.6,-0.579899,-2.58554
59.7,-0.795969,-2.591
59.8,-1.01337,-2.52014
59.9,-1.22557,-2.36302
60,-1.42466,-2.12174
60.1,-1.6026,-1.81248
60.2,-1.75277,-1.46263
60.3,-1.87141,-1.10339
60.4,-1.95803,-0.76175
60.5,-2.01486,-0.455402
60.6,-2.04568,-0.19209
60.7,-2.05472,0.0281312
60.8,-2.04595,0.209755
60.9,-2.02273,0.359202
61,-1.98774,0.48315
61.1,-1.94301,0.587685
61.2,-1.89005,0.677985
61.3,-1.8299,0.758314
61.4,-1.76328,0.832131
61.5,-1.69062,0.902251
61.6,-1.61211,0.971003
61.7,-1.52778,1.04036
61.8,-1.43749,1.11207
61.9,-1.34095,1.18768
62,-1.23774,1.26868
62.1,-1.12731,1.35642
62.2,-1.009,1.45218
62.3,-0.882049,1.55702
62.4,-0.745593,1.67168
62.5,-0.598749,1.79625
62.6,-0.440679,1.92978
62.7,-0.270733,2.0696
62.8,-0.0886614,2.21058
62.9,0.105077,2.34422
63,0.308953,2.458
63.1,0.520018,2.5357
63.2,0.733729,2.55906
63.3,0.944162,2.51162
63.4,1.14469,2.38368
63.5,1.32901,2.17665
63.6,1.49206,1.90408
63.7,1.6306,1.58859
63.8,1.74325,1.25601
63.9,1.83015,0.929592
64,1.89261,0.626356
64.1,1.9327,0.35603
64.2,1.95288,0.121997
